event,event_date,event_window
Trump hush money trial begins,2024-04-15,2024-04-15
Trump conviction,2024-05-30,2024-05-30
First presidential debate,2024-06-27,2024-06-27
Trump assassination attempt,2024-07-13,2024-07-13
Republican National Convention,2024-07-15,2024-07-15
Biden withdraws from race,2024-07-21,2024-07-21
Harris becomes Democratic nominee,2024-08-05,2024-08-05
Democratic National Convention,2024-08-19,2024-08-19
Second presidential debate,2024-09-10,2024-09-10
Vice presidential debate,2024-10-01,2024-10-01
US presidential election,2024-11-05,2024-11-05
Election results confirmed,2024-11-06,2024-11-06
Electoral College vote,2024-12-17,2024-12-17
Congress certifies election,2025-01-06,2025-01-06
Trump inauguration,2025-01-20,2025-01-20
