stream_group,time_window,drift_score,n_articles
left,2024-04-04,0.8211223483085632,5
left,2024-04-10,0.8440825939178467,6
left,2024-04-11,0.7904199361801147,6
left,2024-04-15,0.7140130996704102,6
left,2024-04-24,0.6462178826332092,6
left,2024-04-30,0.8041812181472778,6
left,2024-05-03,0.6457738876342773,6
left,2024-05-10,0.8482636213302612,5
left,2024-05-16,0.7034468650817871,5
left,2024-06-04,0.8419512510299683,6
left,2024-06-13,0.8596850037574768,6
left,2024-06-28,0.9542044401168823,7
left,2024-07-02,0.39582228660583496,7
left,2024-07-08,0.502530038356781,5
left,2024-07-16,0.7143235206604004,6
left,2024-07-17,0.9210442900657654,5
left,2024-07-18,0.9336228370666504,8
left,2024-07-23,0.8624041080474854,5
left,2024-08-01,0.9609749913215637,6
left,2024-08-02,0.400317907333374,7
left,2024-08-07,1.1010912656784058,5
left,2024-08-14,0.871065080165863,5
left,2024-08-21,0.5696506500244141,9
left,2024-08-22,0.7032322287559509,7
left,2024-08-27,0.49466776847839355,9
left,2024-09-04,0.6811029314994812,6
left,2024-09-06,0.8077535629272461,5
left,2024-09-10,0.7673743367195129,5
left,2024-09-13,0.7961508631706238,5
left,2024-09-20,0.9504467248916626,5
left,2024-09-23,0.8723210692405701,5
left,2024-09-25,0.8001445531845093,11
left,2024-09-27,0.8446407318115234,7
left,2024-10-07,0.8969880938529968,5
left,2024-10-10,0.5739864110946655,5
left,2024-10-21,0.9195570945739746,10
left,2024-10-24,0.867051899433136,5
left,2024-10-25,0.4785253405570984,5
left,2024-11-01,0.5026459693908691,8
left,2024-11-05,0.718576192855835,5
left,2024-11-11,0.8751183152198792,6
left,2024-11-13,0.6238915920257568,5
left,2024-11-15,0.558292806148529,7
left,2024-11-25,0.5755826830863953,7
left,2024-12-03,0.8241833448410034,5
left,2024-12-09,0.9572616219520569,5
left,2024-12-17,0.5864953994750977,6
left,2024-12-18,0.8431121110916138,8
left,2025-01-06,0.8880987167358398,5
left,2025-01-09,0.7895486950874329,6
left,2025-01-13,0.9165840148925781,5
left,2025-01-16,0.9472300410270691,5
left,2025-01-20,0.8662601709365845,7
left,2025-01-23,0.9803894758224487,7
left,2025-01-24,0.9811180233955383,5
left,2025-01-30,0.8307310342788696,5
left,2025-02-03,0.6094211935997009,6
left,2025-02-04,0.6163395047187805,5
left,2025-02-06,0.7495614290237427,7
left,2025-02-07,0.7107203602790833,5
left,2025-02-13,0.6201378703117371,5
left,2025-02-19,0.7009734511375427,5
